hhid,quarter,cluster,personid,s1aq1,s1aq2,s1aq4y,s1aq6,s1aq7,s1aq9a,s1bq1,s2aq1,s2aq3,s2aq4,s2aq5,s2aq12,s2aq13,s3aq1,s3aq5,s3aq22a,s3aq23,s3bq1,s3bq2,s3bq3,s3bq4,s3cq6,s4aq1,region,BMI,pop_weight,hh_weight,econact,urbrur,Edu_Expensis,Training,Disability,Side_Earnings,Secured_Job,Unemployment,Health_issues,Health_hazards,Psychological_trauma,preventive_measures,Good_Health_practice,Health_control,Lterm_percept,Total_Income
104011,1,40,4,1,3,8,1,1,6,1,2,3,1,1,1,9,1,2,2,10,1,1,26.04999924,146,1,2,1,12.2208662,577.6033936,738.8737183,1,2,1030,0,1,0,2,0,0,0,0,0,0,0,0,1086.71
119006,1,190,4,2,8,7,3,1,3,1,2,2,1,1,4,9,2,2, ,10,4, ,15.5,112.5,1,2,5,12.24691391,862.1346436,1180.808105,3,1,455,0,1,0,2,0,0,0,0,0,0,0,0,30.25
116107,1,161,5,1,3,6,3,1,3,1,2,3,1,1,3,9,2,2, ,10,1,1,16.70000076,116.4000015,1,2,4,12.32566929,528.1037598,697.0588379,3,1,580,0,1,0,2,0,0,0,0,0,0,0,0,443.75
115415,1,154,3,2,3,5,3,1,3,1,2,3,2,1,3,9,1,2,2,10,1,1,13.97999954,106.4000015,1,2,4,12.34877491,541.4689941,697.0588379,3,1,1000,0,1,0,2,0,0,0,0,0,0,0,0,3229.41
108210,1,82,4,2,3,9,3,1,1,1,2,3,3,1,1,9,2,2, ,10,1,1,18.39999962,121.8000031,1,2,2,12.40289879,671.2452393,868.9393921,3,2,105,0,1,0,2,0,0,0,0,0,0,0,0,56.66666667
109915,1,99,4,1,3,9,3,1,1,1,2,3,5,1,1,9,1,2,2,10,4, ,25.39999962,143,1,2,3,12.42114544,1922.302368,2083.513184,3,1,2000,0,1,0,2,0,0,0,0,0,0,0,0,300
106304,1,63,3,1,3,11,7,1,1,1,2,3,3,1,2,9,3,2, ,10,1,2,27.04999924,147.5,1,2,2,12.43320847,1022.519043,1116.742065,3,1,80,0,1,0,2,0,0,0,0,0,0,0,0,155.1546392
118014,1,180,4,1,3,13,1,1,3,1,2,4,0,1,3,9,1,2,2,10,1,1,28,149.8999939,1,2,4,12.4610548,731.8098145,642.8240967,3,2,988.5,0,1,0,2,0,0,0,0,0,0,0,0,35.69
118215,1,182,2,1,3,4,2,1,3,1,2,2,2,1,2,9,2,2, ,10,1,1,11.5,96, , ,4,12.47829819,579.3713989,642.8240967, ,2,1297,0,2,0,2,0,0,0,0,0,0,0,0,165.2884615
105412,1,54,3,1,3,6,5,1,9,1,2,3,1,1,3,9,1,2, ,10,1,1,17.10000038,117,1,2,2,12.49178219,717.2387695,1054.700806,3,1,500,0,1,0,2,0,0,0,0,0,0,0,0,1062.5
104515,1,45,2,1,3,3,2,1,1,1,2,1,1,1,3,9,1,2,2,10,1,1,12.5,100, , ,2,12.5,951.5363159,1116.742065, ,1,1420,0,2,0,2,0,0,0,0,0,0,0,0,2146.153846
